"Name"	"Log_Galactocentric_Distance"	"Heliocentric_Distance"	"Metallicity"	"Reddening"	"Apparent_Distance_Modulus"	"Number_of_Populations_by_eye"	"UV_Color_Spread_of_RGB"	"Absolute_Vmagnitude"	"Apparent_Vmag"	"UB_color"	"BV_color"	"VR_color"	"VI_color"	"Ellipticity"	"Radial_Velocity"	"Radial_Velocity_Error"	"LSR_Radial_Velocity"	"Central_Sigma_V"	"Central_Sigma_V_Error"	"Central_Concentration"	"Core_Radius"	"Half_Light_Radius"	"Central_Surface_Brightness"	"Log_Luminosity_Density"	"Log_Core_Relaxtime"	"Log_HMR_Relaxtime"	"Age_from_compilation"	"Age_compilation_err"	"Age_Reference"	"RGB_median_color"	"Mean_Period_of_RRab"	"Number_of_RRab"	"Oosterhoff_Type"	"Galaxy_Population"	"Horizontal_Branch_Magnitude"	"Specific_RRLyrae_Frequency"	"Horizontal_Branch_Ratio"	"Horizontal_Branch_Type"	"FeH_Dotter2010"	"Alpha_Fe_Dotter"	"Age_Dotter2010"	"Age_err_Dotter2010"	"Integrated_Spectral_FeH"	"Age_Roediger2014"	"Age_err_Roediger2014"	"Fe_H_Roediger2014"	"Fe_H_Roediger2014_err"	"Mg_Fe"	"Mg_Fe_err"	"C_Fe"	"C_Fe_err"	"N_Fe"	"N_Fe_err"	"Ca_Fe"	"Ca_Fe_err"	"O_Fe"	"O_Fe_err"	"Na_Fe"	"Na_Fe_err"	"Si_Fe"	"Si_Fe_err"	"Cr_Fe"	"Cr_Fe_err"	"Ti_Fe"	"Ti_Fe_err"	"Longitude"	"Latitude"	"X"	"Y"	"Z"	"R.A."	"Dec"	"RA_hour"	"RA_mins"	"RA_secs"	"Dec_deg"	"Dec_mins"	"Dec_secs"
1	104	0.86923172	4.5	-0.72	0.04	13.37	0	0	-9.42	3.95	0.37	0.88	0.53	1.14	0.09	-18	0.1	-26.7	11	0.3	2.07	0.36	3.17	14.38	4.88	7.84	9.55	11.75	0.25	VandenBerg2013	1.069	99.999	99.999	99.999	99.999	14.06	0.2	-0.99	7	-0.7	0.2	12.75	0.5	-0.7	13.1	0.9	-0.72	0.08	0.41	0.14	-0.13	0.2	0.87	0.55	0.17	0.15	0.24	0.2	0.35	0.22	0.31	0.12	0.1	0.08	0.28	0.12	305.89481	-44.88934	1.9	-2.6	-3.1	6.02363	-72.08128	0	24	5.67	-72	4	52.6
2	288	1.079181246	8.9	-1.32	0.03	14.84	2	0.186153846	-6.75	8.09	0.08	0.65	0.45	0.94	99.999	-45.4	0.2	-51.9	2.9	0.3	0.99	1.35	2.23	20.05	1.78	8.99	9.32	11.5	0.38	VandenBerg2013	1.004	99.999	99.999	99.999	99.999	15.44	4	0.98	0	-1.4	0.4	12.5	0.5	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	151.28499	-89.38042	-0.1	0	-8.9	13.1885	-26.58261	0	52	45.24	-26	34	57.4
3	362	0.973127854	8.6	-1.26	0.05	14.83	3	0.203076923	-8.43	6.4	0.16	0.77	0.49	1.01	0.01	223.5	0.5	214	6.4	0.3	1.76	0.18	0.82	14.8	4.74	7.76	8.93	10.75	0.25	VandenBerg2013	0.981	0.564	13	OoI	YH	15.44	3	-0.87	6	-1.3	0.2	11.5	0.5	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	301.53298	-46.24741	3.1	-5.1	-6.2	15.80942	-70.84878	1	3	14.26	-70	50	55.6
4	1261	1.257678575	16.3	-1.27	0.01	16.09	2	0.186153846	-7.8	8.29	0.13	0.72	0.45	0.93	0.07	68.2	4.6	54.9	99.999	99.999	1.16	0.35	0.68	17.73	2.99	8.59	9.12	10.75	0.25	VandenBerg2013	0.963	0.555	13	OoI	YH	16.7	13.5	-0.71	5	-1.35	0.2	11.5	0.5	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	270.53871	-52.12435	0.1	-10	-12.9	48.06754	-55.21622	3	12	16.21	-55	12	58.4
5	1851	1.220108088	12.1	-1.18	0.02	15.47	2	0	-8.33	7.14	0.17	0.76	0.49	1.01	0.05	320.5	0.6	303.8	10.4	0.5	1.86	0.09	0.51	14.25	5.09	7.43	8.82	11	0.25	VandenBerg2013	1	99.999	99.999	99.999	99.999	16.09	13.5	-0.36	1	99.999	99.999	99.999	99.999	-1.21	10	0.5	-1.17	0.08	0.4	0.1	-0.36	0.51	0.84	0.46	0.36	0.09	0.09	0.26	0.18	0.31	0.32	0.11	0	0.16	0.17	0.06	244.51322	-35.03598	-4.2	-8.9	-6.9	78.52817	-40.04656	5	14	6.76	-40	2	47.6
6	2298	1.198657087	10.8	-1.92	0.14	15.6	2.5	0.135384615	-6.31	9.29	0.17	0.75	0.54	1.11	0.08	148.9	1.2	132	99.999	99.999	1.38	0.31	0.98	18.9	2.9	7.91	8.84	12.7	0	Roediger2014	1.203	99.999	99.999	99.999	99.999	16.11	12.1	0.93	1	-1.9	0.2	13	1	-1.97	12.7	0.7	-1.95	0.04	0.59	0.2	99.99	99.99	99.99	99.99	0.39	0.05	99.99	99.99	99.99	99.99	0.51	0.05	-0.03	0.1	-0.03	0.03	245.6286	-16.00636	-4.3	-9.4	-3	102.24754	-36.00531	6	48	59.41	-36	0	19.1
7	2808	1.045322979	9.6	-1.14	0.22	15.59	99.999	0	-9.39	6.2	0.28	0.92	0.57	1.18	0.12	101.6	0.7	89.2	13.4	1.2	1.56	0.25	0.8	15.08	4.66	8.24	9.15	11	0.38	VandenBerg2013	1.35	99.999	99.999	99.999	99.999	16.22	0.3	-0.49	0	99.999	99.999	99.999	99.999	-1.29	10.9	0.4	-1.14	0.13	0.25	0.18	-0.5	0.28	1.25	1.06	0.39	0.14	0.12	0.38	0.28	0.27	0.35	0.13	0.02	0.08	0.3	0.09	282.19302	-11.25259	2	-9.2	-1.9	138.01292	-64.8635	99.999	99.999	99.999	99.999	99.999	99.999
8	3201	0.944482672	4.9	-1.59	0.24	14.2	2.5	0.203076923	-7.45	6.75	0.38	0.96	0.62	1.23	0.12	494	0.2	482.9	5	0.2	1.29	1.3	3.1	19	2.71	8.61	9.27	11.5	0.38	VandenBerg2013	1.29	0.554	72	OoI	YH	14.76	80.1	0.08	4	-1.5	0.2	12	0.75	-1.56	10.2	0.4	-1.59	0.2	0.36	0.11	-0.55	0.23	0.56	0.27	0.2	0.11	0.15	0.27	0.12	0.25	0.34	0.11	-0.06	0.24	0.2	0.12	277.22878	8.64038	0.6	-4.8	0.7	154.40342	-46.41247	10	17	36.82	-46	24	44.9
9	4147	1.330413773	19.3	-1.8	0.02	16.49	0	0	-6.17	10.32	0.11	0.59	0.42	0.79	0.08	183.2	0.7	186.1	2.6	0.7	1.83	0.09	0.48	17.38	3.63	7.41	8.74	12.25	0.25	VandenBerg2013	0.941	99.999	99.999	99.999	99.999	17.02	30.8	0.55	3	-1.7	0.2	12.75	0.75	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	252.84823	77.18948	-1.3	-4.1	18.8	182.52625	18.54264	12	10	6.149	18	32	31.78
10	4590	1.008600172	10.3	-2.23	0.05	15.21	1.5	0.067692308	-7.37	7.84	0.04	0.63	0.46	0.94	0.05	-94.7	0.2	-96.8	2.5	0.4	1.41	0.58	1.51	18.81	2.57	8.45	9.27	12	0.25	VandenBerg2013	0.991	0.622	14	OoII	YH	15.68	48.3	0.17	3	-2.3	0.2	13	1	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	299.62577	36.05083	4.1	-7.2	6	189.86658	-26.74406	12	39	27.98	-26	44	38.6
